slug,term,opus_sound,opus_codes,sonnet_sound,sonnet_codes,detector_codes
12b-1,12b-1,False,MALFORMED;POINTER,False,NONAUTH;POINTER,
401-h-accounts,401(h) account,True,,True,NONAUTH,
time-and-material-contracts,A time-and-material contract,True,MALFORMED;STALE,False,MALFORMED,
unit-price-contracts,A unit-price contract,True,MALFORMED;STALE,False,MALFORMED,
absolute-priority-doctrine,absolute priority doctrine,True,MALFORMED;UNDEF,True,,
accident-year,Accident Year,True,,True,,
accounting-change,accounting change,True,,True,,
accretion-expense,Accretion Expense,True,,True,,
accumulated-benefit-obligation,accumulated benefit obligation,True,,True,,
accumulated-eligibility-credits,accumulated eligibility credits,True,MALFORMED,True,,
accumulated-plan-benefits,accumulated plan benefits,True,CIRC,False,CIRC,CIRC
accumulated-postretirement-benefit-obligation,accumulated postretirement benefit obligation,True,,True,,
accumulation-phase,accumulation phase,True,,True,,
acquiree,Acquiree,True,CIRC,True,,
acquirer,Acquirer,False,CIRC;PENDING,True,PENDING,PENDING
acquisition-by-a-not-for-profit-entity,Acquisition by a Not-for-Profit Entity,True,MALFORMED,True,CIRC,CIRC
acquisition-costs,Acquisition Costs,True,,True,,
acquisition-date,acquisition date,True,,True,,
acquisition-of-properties,Acquisition of Properties,True,POINTER,False,POINTER,POINTER
acquisition-development-and-construction-arrangements,"Acquisition, Development, and Construction Arrangements",True,,True,,
active-market,Active Market,True,,True,,
active-plan-participant,active plan participants,True,,True,,
activities,activities,False,INCONS;MALFORMED,True,,
actual-return-on-plan-assets-component-of-net-periodic-pension-cost,Actual return on plan assets,False,HOMONYM,False,HOMONYM,HOMONYM
actual-return-on-plan-assets-component-of-net-periodic-postretirement-benefit-cost,Actual return on plan assets,True,HOMONYM,True,HOMONYM,HOMONYM
actual-income-available-method,actual-income-available,True,MALFORMED,True,,
actuarial-asset-value,Actuarial asset value,True,,True,,
actuarial-calculation,actuarial calculation,False,INCONS,True,CIRC,CIRC
actuarial-calculation-date,actuarial calculation date,True,,True,CIRC,CIRC
actuarial-cost-method,actuarial cost method,True,,True,,
actuarial-present-value,actuarial present value,True,,True,,
actuarial-present-value-of-accumulated-plan-benefits,actuarial present value of accumulated plan benefits,True,CIRC,True,CIRC,CIRC
adequate-compensation,adequate compensation,True,,True,,
administrative-expenses,Administrative expenses,True,,True,,
administrative-service-arrangement,administrative service arrangements,True,,True,,
advance-payments,Advance payments,True,,True,,
advance-refunding,Advance Refunding,True,,True,,
advance-royalty,advance royalties,True,,True,,
advances,Advances,True,,True,,
affiliate,Affiliate,True,HOMONYM,True,,
affiliated-entity,affiliated entity,True,,True,,
agency-transaction,Agency Transaction,True,,True,,
agent,agent,True,SCOPECONF,True,,
agricultural-cooperative,Agricultural Cooperative,False,CIRC;MALFORMED,False,CIRC;NONAUTH,CIRC
agricultural-producers,agricultural producers,True,,True,,
air-carrier,air carrier,True,UNDEF,True,,
airframe,Airframe,True,,True,,
airframe-modifications,Airframe modifications,True,,True,,
airworthiness,airworthiness,True,,True,,
all-in-one-hedge,all-in-one hedge,True,,True,,
allocated-shares,allocated shares,True,,True,,
allowable-costs,allowable costs,True,MALFORMED,True,,
allowance-for-funds-used-during-construction,allowance for funds used during construction,True,,True,,
allowed-claim,allowed claims,True,,True,MALFORMED,
alternative-minimum-tax,alternative minimum tax,True,,True,,
amenities,amenities,True,INCONS,True,POINTER,
amortization,Amortization,True,SCOPECONF,True,,
amortized-cost-basis,Amortized Cost Basis,True,,True,,
annual-policyholder-dividends,Annual policyholder dividends,True,UNDEF,True,,
annuitization,annuitization,True,,True,,
annuity-contract,annuity contract,True,,True,,
annuity-trust,annuity trust,False,INCONS;POINTER,False,POINTER,POINTER
antidilution,antidilution,True,,True,,
applicable-statutory-federal-income-tax-rate,applicable statutory Federal income tax rate,False,POINTER,False,NONAUTH;POINTER,POINTER
assessment-entities,Assessment entities,True,,True,,
asset-group,asset group,True,,True,,
asset-retirement-cost,asset retirement cost,True,,True,,
asset-retirement-obligation,Asset Retirement Obligation,True,INCONS,True,,
assigned-amounts,assigned amounts,True,,True,,
associate,associate,False,POINTER,False,DANGLING;POINTER,DANGLING;POINTER
association,association,True,,True,,
assumed-per-capita-claims-cost-by-age,assumed net incurred claims cost,False,INCONS;MALFORMED,False,MALFORMED,
assuming-entity,assuming entity,True,,True,CIRC,CIRC
assumptions,Assumptions,True,,True,,
asymmetrical-default-provision,asymmetrical default provision,True,,True,,
attached-call-option,attached call option,True,,True,,
attribute,attribute,True,,True,,
attribution,Attribution,True,,True,,
attribution-period,attribution period,True,,True,CIRC,CIRC
auction-rate-notes,Auction Rate Notes,True,,True,,
automatic-stay-provisions,automatic stay provisions,True,,True,,
available-for-sale-securities,Available-for-Sale Securities,False,INCONS;STALE,True,,
award,Award,True,,True,,
baby-bonds,baby bonds,True,POINTER,False,CIRC;POINTER,CIRC;POINTER
backplant,backplant,True,,False,SELF;UNDEF,
balance-sheets,Balance sheets,True,POINTER,False,NONAUTH;POINTER,POINTER
bankruptcy-code,Bankruptcy Code,True,,True,,
bankruptcy-court,Bankruptcy Court,True,,True,,
bankruptcy-remote-entity,Bankruptcy-Remote Entity,True,,True,,
bargaining-cooperative,bargaining cooperatives,True,,False,UNDEF,
base-contract,base contract,True,,True,,
base-jackpot,Base Jackpot,True,,True,,
basic-earnings-per-share,basic earnings per share,True,,True,,
benchmark-interest-rate,Benchmark Interest Rate,True,,True,,
beneficial-interests,Beneficial Interests,True,,True,,
benefit-formula,benefit formula,True,POINTER,False,DANGLING;POINTER,DANGLING;POINTER
benefit-information,benefit information,True,,True,,
benefit-information-date,benefit information date,False,CIRC,False,CIRC,CIRC
benefit-period,benefit period,True,,True,,
benefit-security,Benefit security,True,,False,NONAUTH,
benefit-years-of-service-approach,benefit-years-of-service approach,True,,True,,
benefits,Benefits,False,HOMONYM,False,HOMONYM,HOMONYM
benefit,benefits,False,HOMONYM;INCONS;POINTER,False,DANGLING;HOMONYM;POINTER,DANGLING;HOMONYM;POINTER
benefits-of-servicing,benefits of servicing,False,INCONS,True,,
bid-ask-spread,bid-ask spread,True,,True,,
binder-date,binder date,True,,True,,
blackout-period,blackout periods,True,,True,,
blended-rate-loans,Blended-rate loans,True,,True,,
blind-pool-or-partially-blind-pool-partnerships,blind pool,True,,True,,
board-contingent-plan,board-contingent plan,True,,True,,
board-designated-endowment-fund,Board-Designated Endowment Fund,False,INCONS,False,CIRC,CIRC
board-designated-net-assets,Board-Designated Net Assets,True,,True,,
box-spread,box spreads,True,MALFORMED,True,,
breeding-herds,breeding herds,True,,True,,
broadcaster,Broadcaster,True,,True,,
broker-assisted-cashless-exercise,Broker-Assisted Cashless Exercise,True,STALE,True,,
brokered-market,Brokered Market,True,,True,,
business,Business,False,POINTER,False,POINTER,POINTER
business-combination,Business Combination,True,,True,,CIRC
business-interruption-insurance,Business Interruption Insurance,True,,True,,
cable-television-plant,cable television plant,True,,True,,
calculated-value,calculated value,True,,True,UNDEF,
call-option,call option,True,,True,POINTER,
capacity-contract,capacity contract,True,,True,,
